session_duration,pages_viewed,device,source,converted
324.83570765056163,4,mobile,paid,0
293.0867849414408,7,desktop,referral,0
332.3844269050346,7,mobile,paid,0
376.15149282040124,2,mobile,paid,0
288.2923312638332,5,desktop,organic,0
288.293152152541,6,desktop,organic,0
378.9606407753696,5,mobile,organic,0
338.37173645764545,2,mobile,direct,1
276.5262807032524,7,mobile,referral,0
327.1280021792982,9,desktop,organic,0
276.8291153593769,6,mobile,paid,0
276.71351232148714,5,mobile,referral,0
312.0981135783017,6,mobile,paid,0
204.3359877671101,5,mobile,organic,0
213.75410837434836,5,tablet,organic,0
271.88562353795135,5,desktop,paid,0
249.35844398327882,4,desktop,direct,0
315.71236662976366,8,mobile,paid,0
254.59879622393944,4,mobile,organic,0
229.38481493323542,5,mobile,organic,0
373.2824384460777,3,mobile,referral,1
288.71118497567323,7,tablet,referral,1
303.3764102343962,2,mobile,paid,1
228.76259068932717,5,mobile,paid,0
272.78086377374086,10,mobile,organic,1
305.5461294854933,7,desktop,referral,0
242.45032112888487,7,mobile,referral,0
318.7849009172836,10,mobile,organic,0
269.9680655040597,1,mobile,referral,0
285.41531251033615,5,desktop,organic,0
269.91466938853017,3,mobile,organic,0
392.6139092254469,8,tablet,organic,0
299.3251387631033,7,desktop,organic,0
247.114453552205,3,mobile,organic,0
341.12724560515943,1,desktop,paid,0
238.9578175014489,5,mobile,paid,0
310.4431797502378,3,tablet,paid,0
202.01649380601123,6,mobile,organic,0
233.59069755507846,3,mobile,organic,0
309.8430617934562,4,mobile,paid,0
336.92332899977055,5,mobile,organic,0
308.56841405949854,8,tablet,organic,0
294.217585880588,7,mobile,referral,0
284.9448152205356,5,desktop,referral,0
226.07390048162864,4,mobile,referral,0
264.00778958026456,6,tablet,paid,0
276.9680614520106,8,mobile,organic,0
352.8561113109458,4,mobile,paid,1
317.18091447842306,3,mobile,organic,0
211.84799223186332,2,desktop,paid,0
316.20419846973977,3,mobile,organic,0
280.74588597918415,9,mobile,referral,1
266.1538999847021,5,mobile,organic,0
330.5838144420434,4,desktop,direct,0
351.5499761247975,7,mobile,referral,0
346.56400595580993,8,mobile,paid,0
258.0391238388681,4,mobile,referral,0
284.53938120743925,4,desktop,paid,0
316.5631715701782,8,tablet,referral,0
348.77725635611796,5,mobile,paid,0
276.0412881077355,5,mobile,referral,0
290.71705116680914,6,mobile,paid,0
244.68325129969858,7,mobile,direct,0
240.18966879596647,2,mobile,paid,1
340.6262911197099,1,desktop,paid,0
367.8120014285412,7,mobile,referral,0
296.39949392098333,5,tablet,referral,0
350.1766448946012,4,mobile,paid,0
318.0818012523817,4,desktop,organic,0
267.7440122697438,3,mobile,paid,0
318.0697802754207,8,mobile,direct,0
376.90182832329845,7,mobile,referral,1
298.2086980445024,1,mobile,referral,0
378.23218279070034,2,mobile,organic,1
169.0127447955128,4,desktop,paid,0
341.0951252187612,6,tablet,paid,1
304.35235341190855,4,mobile,referral,0
285.0496324767066,6,mobile,organic,0
304.5880388267751,8,mobile,referral,1
200.62155426995537,7,mobile,paid,0
289.0164056081244,5,mobile,organic,0
317.85562857558733,2,desktop,organic,0
373.8947022370758,1,tablet,organic,0
274.0864890863176,7,tablet,paid,0
259.57531985534064,4,mobile,organic,1
274.91214782077316,1,desktop,organic,0
345.7701058851037,6,desktop,referral,0
316.43755548298424,5,mobile,organic,0
273.51198981164805,8,mobile,organic,0
325.6633716556678,5,desktop,paid,0
304.853877467402,4,mobile,paid,0
348.43224952664445,10,mobile,referral,0
264.89734530613237,7,mobile,paid,0
283.6168926701116,4,mobile,referral,0
280.3945923433921,8,mobile,paid,0
226.82425259339408,5,tablet,organic,0
314.8060138532288,5,desktop,organic,0
313.05276360899444,5,desktop,paid,0
300.255672832123,2,mobile,organic,0
288.27064333124264,3,desktop,referral,1
229.23146289747928,4,mobile,paid,0
278.96773386173203,9,mobile,organic,0
282.8642741736615,0,mobile,organic,0
259.88613653891906,5,mobile,organic,0
291.93571441669957,5,mobile,paid,1
320.2025428407269,5,mobile,paid,0
394.3092950605265,5,mobile,paid,0
308.72889064159193,4,mobile,organic,0
312.8775195361382,9,tablet,paid,0
296.2777042116916,6,mobile,referral,0
204.06143923504794,2,desktop,organic,0
298.67430622753915,6,mobile,paid,1
303.01151049705135,6,mobile,direct,1
423.1621056242643,6,tablet,organic,0
290.3819517609439,5,mobile,paid,0
315.07736711668065,2,mobile,organic,0
298.26441151473784,5,desktop,paid,1
241.5660981190234,3,mobile,organic,1
357.14114072575103,3,desktop,direct,0
337.5966516343387,3,mobile,referral,0
339.5515973521523,6,mobile,referral,0
254.53062726026306,6,mobile,referral,0
370.13971554680495,4,mobile,paid,0
229.90744686038596,5,desktop,paid,0
329.3428546900135,5,desktop,referral,0
409.5227812904989,7,mobile,direct,0
250.4731837434656,5,mobile,paid,0
271.6851135198614,3,desktop,direct,0
304.98256825438204,4,mobile,paid,0
274.82621729419003,7,mobile,paid,0
222.46682844669337,5,mobile,paid,0
303.42814874030137,7,mobile,organic,0
246.88481431369476,8,desktop,organic,0
323.6796215317591,7,tablet,organic,0
254.02878828830984,5,mobile,paid,0
377.496720250877,8,mobile,organic,0
260.83733538318813,4,mobile,paid,0
283.89692418971623,6,mobile,direct,0
340.6758608684835,8,mobile,organic,0
238.45678417830223,6,desktop,paid,0
311.37299673020647,3,mobile,organic,0
365.3571377141214,8,mobile,organic,0
219.62583827193862,4,mobile,referral,0
309.2316929266152,7,mobile,paid,0
312.9941397124212,2,mobile,referral,0
339.0911435888655,10,desktop,organic,0
238.1524644560959,6,mobile,paid,1
233.9771693457862,4,desktop,organic,0
326.09707828084487,5,mobile,organic,0
314.8492336616593,6,mobile,organic,0
312.52464251729384,4,mobile,organic,1
317.32241047484877,5,mobile,organic,0
265.99876392107547,6,mobile,organic,0
311.61268485805016,3,mobile,direct,0
314.65362366493406,7,desktop,organic,0
264.28242909868163,7,desktop,organic,0
393.28872555723785,8,mobile,organic,0
323.6916460455894,4,mobile,paid,0
240.43482513986757,7,mobile,organic,0
332.8276804316915,3,mobile,referral,0
251.26591648863393,4,mobile,direct,0
339.3542301871226,4,desktop,organic,0
